country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Bahamas,BS,BHS,44,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,25.8,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Bahamas,BS,BHS,44,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,20.1,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Bahamas,BS,BHS,44,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,22.7,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Bahrain,BH,BHR,48,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2012,20.6,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Bahrain,BH,BHR,48,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2012,10.4,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Bahrain,BH,BHR,48,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2012,12.6,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Bangladesh,BD,BGD,50,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,4.2,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Bangladesh,BD,BGD,50,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,11.9,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Bangladesh,BD,BGD,50,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,8.6,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Barbados,BB,BRB,52,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,29.3,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Barbados,BB,BRB,52,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,42.6,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Barbados,BB,BRB,52,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,36.4,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Belarus,BY,BLR,112,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,31.2,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
