country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Germany,DE,DEU,276,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,7.5,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Germany,DE,DEU,276,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,9.1,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Germany,DE,DEU,276,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,8.4,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Ghana,GH,GHA,288,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,3.3,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Ghana,GH,GHA,288,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,2.8,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Ghana,GH,GHA,288,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,3.1,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Greece,GR,GRC,300,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,52,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Greece,GR,GRC,300,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,22.7,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Greece,GR,GRC,300,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,34.1,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Greenland,GL,GRL,304,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2015,21.9,Female,,%,Reanalysed,Free,End of fieldwork,18 to 19 years old
Greenland,GL,GRL,304,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2015,19,Male,,%,Reanalysed,Free,End of fieldwork,18 to 19 years old
Greenland,GL,GRL,304,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2015,20.4,Total,,%,Reanalysed,Free,End of fieldwork,18 to 19 years old
Grenada,GD,GRD,308,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,39.6,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Guadeloupe,GP,GLP,312,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2016,57.2,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Guadeloupe,GP,GLP,312,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2016,65.7,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Guadeloupe,GP,GLP,312,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2016,62.6,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Guatemala,GT,GTM,320,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,4.7,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Guatemala,GT,GTM,320,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,4.4,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Guatemala,GT,GTM,320,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,4.5,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Guinea,GN,GIN,324,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2019,6.8,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Guinea-Bissau,GW,GNB,624,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,1.5,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Guyana,GY,GUY,328,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2019,44.8,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Guyana,GY,GUY,328,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2019,29.4,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Guyana,GY,GUY,328,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2019,36.1,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Honduras,HN,HND,340,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,20.5,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Honduras,HN,HND,340,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,8.9,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Honduras,HN,HND,340,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,12.2,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Hungary,HU,HUN,348,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,41.6,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Hungary,HU,HUN,348,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,32.4,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Hungary,HU,HUN,348,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,36.2,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
India,IN,IND,356,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,8.3,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
India,IN,IND,356,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,14.1,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
India,IN,IND,356,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,12.8,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Indonesia,ID,IDN,360,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,17.2,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Indonesia,ID,IDN,360,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,16.7,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Indonesia,ID,IDN,360,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,16.9,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
"Iran, Islamic Republic of",IR,IRN,364,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,20.4,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
"Iran, Islamic Republic of",IR,IRN,364,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,15.9,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
"Iran, Islamic Republic of",IR,IRN,364,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,16.6,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Iraq,IQ,IRQ,368,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2021,52,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Iraq,IQ,IRQ,368,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2021,35.9,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Iraq,IQ,IRQ,368,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2021,37,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Isle of Man,IM,IMN,833,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2016,8.1,Female,,%,Reanalysed,Free,End of fieldwork,16 to 19 years old
Isle of Man,IM,IMN,833,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2016,14.4,Male,,%,Reanalysed,Free,End of fieldwork,16 to 19 years old
Isle of Man,IM,IMN,833,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2016,11.5,Total,,%,Reanalysed,Free,End of fieldwork,16 to 19 years old
Italy,IT,ITA,380,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,41.7,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Italy,IT,ITA,380,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,31.9,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Italy,IT,ITA,380,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,35,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Jamaica,JM,JAM,388,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,20,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Jamaica,JM,JAM,388,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,10.8,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Jamaica,JM,JAM,388,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,14.6,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Japan,JP,JPN,392,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,3.2,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Japan,JP,JPN,392,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,3.5,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Japan,JP,JPN,392,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,3.3,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Jordan,JO,JOR,400,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,29.2,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Jordan,JO,JOR,400,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,54.1,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Jordan,JO,JOR,400,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,52.8,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Kazakhstan,KZ,KAZ,398,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,9.3,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Kazakhstan,KZ,KAZ,398,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,5.2,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Kazakhstan,KZ,KAZ,398,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,7.1,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Kenya,KE,KEN,404,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,18.8,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Kenya,KE,KEN,404,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,14.1,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Kenya,KE,KEN,404,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,16.2,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Kiribati,KI,KIR,296,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2020,40.3,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Kiribati,KI,KIR,296,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2020,23.1,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Kiribati,KI,KIR,296,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2020,28.5,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Kyrgyzstan,KG,KGZ,417,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,3.9,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Kyrgyzstan,KG,KGZ,417,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,8.2,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Kyrgyzstan,KG,KGZ,417,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,6.8,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Lao People's Democratic Republic,LA,LAO,418,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,1.8,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Lao People's Democratic Republic,LA,LAO,418,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,1.8,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Lao People's Democratic Republic,LA,LAO,418,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,1.8,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Lebanon,LB,LBN,422,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2019,28.6,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Lebanon,LB,LBN,422,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2019,27.6,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Lebanon,LB,LBN,422,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2019,27.8,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Lesotho,LS,LSO,426,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2019,34.7,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Lesotho,LS,LSO,426,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2019,9.8,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Lesotho,LS,LSO,426,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2019,16.4,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Liberia,LR,LBR,430,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2017,7.1,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Lithuania,LT,LTU,440,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,38.6,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Madagascar,MG,MDG,450,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,5.2,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Madagascar,MG,MDG,450,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,7,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Madagascar,MG,MDG,450,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,6.1,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Malawi,MW,MWI,454,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2020,0.7,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Malaysia,MY,MYS,458,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,13.5,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Malaysia,MY,MYS,458,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,14.6,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Malaysia,MY,MYS,458,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,14.1,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Maldives,MV,MDV,462,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2019,16.4,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Maldives,MV,MDV,462,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2019,29.1,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Maldives,MV,MDV,462,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2019,23.5,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Mali,ML,MLI,466,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,4.8,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Mali,ML,MLI,466,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,1.2,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Mali,ML,MLI,466,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,2.4,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Marshall Islands,MH,MHL,584,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2021,30.6,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Marshall Islands,MH,MHL,584,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2021,28.3,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Marshall Islands,MH,MHL,584,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2021,29.2,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Martinique,MQ,MTQ,474,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2016,68.1,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Martinique,MQ,MTQ,474,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2016,59.9,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Martinique,MQ,MTQ,474,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2016,62,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Mauritania,MR,MRT,478,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2019,22.9,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Mauritania,MR,MRT,478,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2019,17.7,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Mauritania,MR,MRT,478,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2019,19.4,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Mauritius,MU,MUS,480,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,36.1,Female,,%,Reanalysed,Free,End of fieldwork,16 to 19 years old
Mauritius,MU,MUS,480,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,23.3,Male,,%,Reanalysed,Free,End of fieldwork,16 to 19 years old
Mauritius,MU,MUS,480,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,27.4,Total,,%,Reanalysed,Free,End of fieldwork,16 to 19 years old
Mexico,MX,MEX,484,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,5.9,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Mexico,MX,MEX,484,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,5.2,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Mexico,MX,MEX,484,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,5.4,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
"Micronesia, Federated States of",FM,FSM,583,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2014,28.5,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
"Micronesia, Federated States of",FM,FSM,583,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2014,16.7,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Monaco,MC,MCO,492,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2016,41.7,Female,,%,Reanalysed,Free,End of fieldwork,17 to 19 years old
Monaco,MC,MCO,492,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2016,56.4,Male,,%,Reanalysed,Free,End of fieldwork,17 to 19 years old
Monaco,MC,MCO,492,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2016,50.8,Total,,%,Reanalysed,Free,End of fieldwork,17 to 19 years old
Mongolia,MN,MNG,496,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,22.6,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Mongolia,MN,MNG,496,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,17.4,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Mongolia,MN,MNG,496,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,18.9,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Montenegro,ME,MNE,499,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,37.7,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Montenegro,ME,MNE,499,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,23.2,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Montenegro,ME,MNE,499,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,29.2,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Mozambique,MZ,MOZ,508,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,9.5,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Mozambique,MZ,MOZ,508,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,10.4,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Mozambique,MZ,MOZ,508,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,9.9,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Myanmar,MM,MMR,104,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2020,6,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Myanmar,MM,MMR,104,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2020,6.3,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Myanmar,MM,MMR,104,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2020,6.2,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Namibia,,NAM,516,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2018,38.7,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Namibia,,NAM,516,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2018,36.9,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Namibia,,NAM,516,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2018,37.7,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Nauru,NR,NRU,520,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2021,30.6,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Nauru,NR,NRU,520,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2021,20.7,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Nauru,NR,NRU,520,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2021,24,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Nepal,NP,NPL,524,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2017,24.2,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Nepal,NP,NPL,524,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2017,22.4,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Nepal,NP,NPL,524,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2017,23.1,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Netherlands,NL,NLD,528,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,10.7,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Netherlands,NL,NLD,528,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,11.2,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Netherlands,NL,NLD,528,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,10.9,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
New Caledonia,NC,NCL,540,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,33,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
New Caledonia,NC,NCL,540,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,36.7,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
New Zealand,NZ,NZL,554,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,21.2,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
New Zealand,NZ,NZL,554,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,22.8,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
New Zealand,NZ,NZL,554,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,22,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Niger,NE,NER,562,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,0.2,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Nigeria,NG,NGA,566,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,4.6,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Nigeria,NG,NGA,566,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,3.6,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Nigeria,NG,NGA,566,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,4.1,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
"Macedonia, the former Yugoslav Republic of",MK,MKD,807,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,35.6,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
"Macedonia, the former Yugoslav Republic of",MK,MKD,807,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,42.3,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
"Macedonia, the former Yugoslav Republic of",MK,MKD,807,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,40,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Oman,OM,OMN,512,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,25.8,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Oman,OM,OMN,512,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,57.1,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Oman,OM,OMN,512,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2022,51.3,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Pakistan,PK,PAK,586,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2021,7.9,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Pakistan,PK,PAK,586,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2021,10,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Pakistan,PK,PAK,586,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2021,9.5,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Panama,PA,PAN,591,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,26.1,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Panama,PA,PAN,591,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,17,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Panama,PA,PAN,591,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,20.7,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Paraguay,PY,PRY,600,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,20.6,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Paraguay,PY,PRY,600,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,13.4,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Paraguay,PY,PRY,600,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,16.2,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
